Unnamed: 0,noise_level,distance,method,run
248,10,1.2699144046297228,pmlat,8
249,10,1.1924178252771265,pmlat,9
250,10,1.35889883515495,pmlat,10
251,10,1.1948769900384837,pmlat,11
252,10,1.1374224437384637,pmlat,12
253,10,1.2869929962300115,pmlat,13
254,10,1.1743332961314463,pmlat,14
255,10,1.2350162515372087,pmlat,15
256,10,1.2315929013294191,pmlat,16
257,10,1.0169348162945615,pmlat,17
258,10,1.2667970114582123,pmlat,18
259,10,0.8509285890196168,pmlat,19
260,10,1.4911743369912631,pmlat,20
261,10,0.8449427994374729,pmlat,21
262,10,1.4151668522181933,pmlat,22
263,10,1.159031920090656,pmlat,23
264,10,1.337746568744743,pmlat,24
265,10,1.0378120554656367,pmlat,25
266,10,0.9505416612210896,pmlat,26
267,10,1.575136719119998,pmlat,27
268,10,1.1256589697095256,pmlat,28
269,10,1.4253068295787048,pmlat,29
270,2,0.07266108347693302,lin,0
271,2,0.04441196000631063,lin,1
272,2,0.0625127772994827,lin,2
273,2,0.07964483633507634,lin,3
274,2,0.036091578368962575,lin,4
275,2,0.11051293394629214,lin,5
276,2,0.0983263494504528,lin,6
277,2,0.09531632212601568,lin,7
278,2,0.052363954979039166,lin,8
279,2,0.025075080499495202,lin,9
280,2,0.031305706184225984,lin,10
281,2,0.03309580694012995,lin,11
282,2,0.07728098877367649,lin,12
283,2,0.026386020423954076,lin,13
284,2,0.0912555394413475,lin,14
285,2,0.0667308889675479,lin,15
286,2,0.024949903141706576,lin,16
287,2,0.12793722044596084,lin,17
288,2,0.09192682165407236,lin,18
289,2,0.07110688023513594,lin,19
290,2,0.05346930639985527,lin,20
291,2,0.053424184306085386,lin,21
292,2,0.06340496762530114,lin,22
293,2,0.01203014268516633,lin,23
294,2,0.11017423865828484,lin,24
295,2,0.04732926854105137,lin,25
296,2,0.040689783695531695,lin,26
297,2,0.03193384918336059,lin,27
298,2,0.02420889249571996,lin,28
299,2,0.023240340798096237,lin,29
300,3,0.09132739553337076,lin,0
301,3,0.1746566710163336,lin,1
302,3,0.12244071383148475,lin,2
303,3,0.1467722729736489,lin,3
304,3,0.1073405239140179,lin,4
305,3,0.12834705566175852,lin,5
306,3,0.024218939077334675,lin,6
307,3,0.07163267519286308,lin,7
308,3,0.1450450560577984,lin,8
309,3,0.0255957055625444,lin,9
310,3,0.09833795622222044,lin,10
311,3,0.15693004485986647,lin,11
312,3,0.06976500442976334,lin,12
313,3,0.2454090001878199,lin,13
314,3,0.029298941452460408,lin,14
315,3,0.13483266088959847,lin,15
316,3,0.17594689936648755,lin,16
317,3,0.1571996412604252,lin,17
318,3,0.030048272918756273,lin,18
319,3,0.14722699436905984,lin,19
320,3,0.163858317753883,lin,20
321,3,0.1477946418450049,lin,21
322,3,0.19806976691424724,lin,22
323,3,0.14580204019004653,lin,23
324,3,0.17066075255697108,lin,24
325,3,0.14923390728774122,lin,25
326,3,0.08413029832835424,lin,26
327,3,0.15263157386498127,lin,27
328,3,0.04517273868750951,lin,28
329,3,0.08157059139145108,lin,29
330,4,0.2329794043732371,lin,0
331,4,0.10260820264452797,lin,1
332,4,0.10020344186170624,lin,2
333,4,0.05098068110366495,lin,3
334,4,0.12034191696894372,lin,4
335,4,0.19474579195191846,lin,5
336,4,0.12535311730836166,lin,6
337,4,0.07682672816717752,lin,7
338,4,0.21808059394547108,lin,8
339,4,0.1617542844285892,lin,9
340,4,0.19578747581877,lin,10
341,4,0.2525319930188742,lin,11
342,4,0.0938489888259538,lin,12
343,4,0.16019431704925138,lin,13
344,4,0.09658954446597803,lin,14
345,4,0.1300158555326075,lin,15
346,4,0.21767541898194226,lin,16
347,4,0.02779009990821757,lin,17
348,4,0.26009815489857724,lin,18
349,4,0.07636918132091887,lin,19
350,4,0.16210556498508372,lin,20
351,4,0.3205520051140794,lin,21
352,4,0.06782905257511747,lin,22
353,4,0.31866955213000925,lin,23
354,4,0.1031643720903972,lin,24
355,4,0.1245953277263498,lin,25
356,4,0.16276635730216754,lin,26
357,4,0.06256755751044739,lin,27
358,4,0.28747842621036995,lin,28
359,4,0.02000870275500626,lin,29
360,5,0.29612842318812793,lin,0
361,5,0.15032252565525836,lin,1
362,5,0.2894459159643572,lin,2
363,5,0.056165912010136265,lin,3
364,5,0.21902245911039347,lin,4
365,5,0.09428739070242452,lin,5
366,5,0.1706580220703464,lin,6
367,5,0.3716940872557965,lin,7
368,5,0.2900793395563285,lin,8
369,5,0.08372940860338485,lin,9
370,5,0.14710819124237648,lin,10
371,5,0.407629879004241,lin,11
372,5,0.27879450621551544,lin,12
373,5,0.2954582886608457,lin,13
374,5,0.3616035261531,lin,14
375,5,0.2887786722476089,lin,15
376,5,0.2964115803043361,lin,16
377,5,0.17323445415663086,lin,17
378,5,0.2513757048846431,lin,18
379,5,0.1437238204153638,lin,19
380,5,0.2783047394905904,lin,20
381,5,0.14720436593143033,lin,21
382,5,0.1306061927695671,lin,22
383,5,0.17538252060463375,lin,23
384,5,0.0296861329832957,lin,24
385,5,0.3606685240456848,lin,25
386,5,0.16970774469793154,lin,26
387,5,0.13772720763975502,lin,27
388,5,0.2647778280012693,lin,28
389,5,0.11513103742639533,lin,29
390,6,0.27550905670452625,lin,0
391,6,0.055748830075272635,lin,1
392,6,0.2546191629477316,lin,2
